"T","meanR0","scaleR0"
5,0,0
5.1,0,0
5.2,0,0
5.3,0,0
5.4,0,0
5.5,0,0
5.6,0,0
5.7,0,0
5.8,0,0
5.9,0,0
6,0,0
6.1,0,0
6.2,0,0
6.3,0,0
6.4,0,0
6.5,0,0
6.6,0,0
6.7,0,0
6.8,0,0
6.9,0,0
7,0,0
7.1,0,0
7.2,0,0
7.3,0,0
7.4,0,0
7.5,0,0
7.6,0,0
7.7,0,0
7.8,0,0
7.9,0,0
8,0,0
8.1,0,0
8.2,0,0
8.3,2.16869616043393e-44,1.35878543342392e-45
8.4,9.68730897035939e-41,6.06953364798111e-42
8.5,1.42621809165243e-34,8.93589615354517e-36
8.6,3.97531272752001e-32,2.49071175852412e-33
8.7,3.3205289971374e-30,2.08046037747826e-31
8.8,2.06521029598017e-28,1.29394689691039e-29
8.9,3.57436974731453e-22,2.23950299490101e-23
9,7.04135386444786e-21,4.4117240751146e-22
9.1,4.77636617444342e-20,2.99260767872336e-21
9.2,2.51963218803898e-19,1.57866259790323e-20
9.3,6.01222613933593e-18,3.76692938809168e-19
9.4,4.07394843365483e-17,2.55251145327004e-18
9.5,3.51837572180457e-15,2.20442022599599e-16
9.6,1.6783120551021e-14,1.0515377925307e-15
9.7,5.56118333137877e-14,3.48433083487611e-15
9.8,1.55883142036682e-13,9.76677814901532e-15
9.9,8.14595435002644e-13,5.10380583231974e-14
10,3.07366392835558e-12,1.92578833738261e-13
10.1,7.54200585162757e-12,4.72540500460838e-13
10.2,1.69680099858746e-11,1.06312194504853e-12
10.3,3.73495543815075e-11,2.34011713417302e-12
10.4,7.79377074025633e-11,4.88314700164678e-12
10.5,1.51203392714344e-10,9.47357086035591e-12
10.6,3.02675704464956e-10,1.89639907047197e-11
10.7,5.83359448908152e-10,3.65500864569244e-11
10.8,1.05921204241408e-09,6.6364386141186e-11
10.9,1.89675339852675e-09,1.18840109358601e-10
11,3.31921447322033e-09,2.07963676927394e-10
11.1,5.66428287231131e-09,3.54892732237291e-10
11.2,9.36760367152908e-09,5.86922393610697e-10
11.3,1.59319502020725e-08,9.98208151771699e-10
11.4,2.65674041867938e-08,1.66456705515068e-09
11.5,4.25185454764892e-08,2.66397761465424e-09
11.6,6.75598712977126e-08,4.23292901412978e-09
11.7,1.05384266792115e-07,6.60279707418921e-09
11.8,1.60592271733792e-07,1.00618262499561e-08
11.9,2.4031088842096e-07,1.50565552075412e-08
12,3.57431024220731e-07,2.23946571228191e-08
12.1,5.22220055958974e-07,3.27194292139521e-08
12.2,7.6286370882475e-07,4.77968336067608e-08
12.3,1.09724776709493e-06,6.87474949228108e-08
12.4,1.5593545744242e-06,9.77005594387462e-08
12.5,2.19991394984795e-06,1.37834477893914e-07
12.6,3.07477883488001e-06,1.92648687633548e-07
12.7,4.24618882691948e-06,2.66042778644988e-07
12.8,5.81658835466435e-06,3.64435353957546e-07
12.9,7.93129382008429e-06,4.96931138052061e-07
13,1.07132025480131e-05,6.71230199653578e-07
13.1,1.43696893495269e-05,9.0032550097092e-07
13.2,1.91758645739913e-05,1.20145393955212e-06
13.3,2.54831602344791e-05,1.59663430755969e-06
13.4,3.35826234453125e-05,2.10410201235939e-06
13.5,4.39534670885156e-05,2.7538818907856e-06
13.6,5.71805496815686e-05,3.58261795266618e-06
13.7,7.39552351849643e-05,4.63362725162305e-06
13.8,9.51249897472116e-05,5.96000734364044e-06
13.9,0.000121584607095626,7.61782106982891e-06
14,0.00015465203389428,9.68964370107444e-06
14.1,0.000195835759975598,1.22699888925474e-05
14.2,0.000246665942505707,1.54547278550756e-05
14.3,0.000308852516198801,1.9350995669365e-05
14.4,0.000384963557697047,2.41196938575818e-05
14.5,0.000477814703499819,2.99372346775131e-05
14.6,0.000590605493021996,3.70040836268123e-05
14.7,0.000726620540486504,4.55260365215072e-05
14.8,0.000889844050664956,5.57527216639028e-05
14.9,0.0010852981559679,6.79987981790844e-05
15,0.00131942022061733,8.2667595813933e-05
15.1,0.00159649641347752,0.000100027662275786
15.2,0.00192367806545998,0.000120527060527516
15.3,0.00230997614271448,0.000144730368022101
15.4,0.00276344245721702,0.000173142066900712
15.5,0.0032929211008686,0.000206316279196033
15.6,0.0039105030339393,0.000245010557809701
15.7,0.00462933481707837,0.000290048593742595
15.8,0.00546243644788464,0.00034224614825271
15.9,0.00642714826268849,0.000402689671200855
16,0.00754030239162517,0.000472433771049872
16.1,0.00882286914987392,0.000552792332119738
16.2,0.010295129940099,0.000645036075270866
16.3,0.0119752300914568,0.000750301886775854
16.4,0.0138951384488658,0.000870592758182857
16.5,0.0160786658989919,0.00100740054835845
16.6,0.0185637038287134,0.00116309932267342
16.7,0.0213787288390468,0.00133947326792907
16.8,0.0245622553919827,0.00153893548794711
16.9,0.0281523248452178,0.00176386944444289
17,0.0321956404890461,0.00201720130806686
17.1,0.0367373345460225,0.00230175881502776
17.2,0.041825335818697,0.0026205449198166
17.3,0.0475168588415353,0.00297714436968523
17.4,0.0538558936954118,0.00337431334054238
17.5,0.0609065648491369,0.00381606951802494
17.6,0.0687379148318271,0.00430673872631066
17.7,0.0774086664446765,0.00485000021232811
17.8,0.0869847191323826,0.00544998287191614
17.9,0.0975385090021913,0.0061112251521461
18,0.109149723963105,0.00683871985800137
18.1,0.121887409151323,0.00763679297700512
18.2,0.135839869567859,0.00851097721361208
18.3,0.151092655595496,0.00946663268308726
18.4,0.167733387752599,0.0105092492039767
18.5,0.185853170258207,0.011644534864302
18.6,0.205538695377904,0.012877921323408
18.7,0.226889537732526,0.0142156473779876
18.8,0.250007303944048,0.0156640791387202
