season,week,F1,F2,F3,SEF123,SEF12
2005/2006,0,6.1535,28.66,26.8,25.277,22.152
2005/2006,4,7.6925,28.89,26.8,25.5,22.76
2005/2006,8,19.304,26.07,26.8,25.827,24.114
2005/2006,12,23.07,24.26,26.805,25.844,23.823
2005/2006,16,23.363,25,26.854,26.053,24.399
2005/2006,20,19.582,25,26.827,25.808,22.484
2005/2006,24,19,19,25.666,24.728,19
2005/2006,28,19,19,23.116,22.537,19
2005/2006,32,19,19,20.615,19,19
2005/2006,36,19,19,19.374,19,19
2005/2006,40,19,19,19.049,19.049,19
2005/2006,44,19,19,19.004,19.004,19
2005/2006,48,19,19,19,19,19
2006/2007,0,6.342,28.26,26.313,24.98,19.955
2006/2007,4,9.9175,26.97,26.313,25.04,20.509
2006/2007,8,9.3915,27.2,26.31,25.037,20.452
2006/2007,12,18.614,26.49,26.323,25.842,23.608
2006/2007,16,30.361,27.36,26.3,26.754,28.458
2006/2007,20,34.143,25.76,26.572,27.678,29.752
2006/2007,24,22.147,23.3,26.521,25.882,22.751
2006/2007,28,22.038,22,24.961,24.534,22.018
2006/2007,32,22.026,22,23.234,22,22
2006/2007,36,22.09,22,22.309,22,22
2006/2007,40,22.09,22,22.045,22.045,22
2006/2007,44,22.075,22,22.004,22.004,22
2006/2007,48,22.029,22,22,22,22
2007/2008,0,6.1775,26.32,26.059,24.59,19.411
2007/2008,4,13.222,25.64,26.059,24.999,21.38
2007/2008,8,19.551,24.34,26.059,25.236,22.697
2007/2008,12,22.852,22.24,26.07,25.293,22.444
2007/2008,16,25.476,25.71,26.149,26.042,25.632
2007/2008,20,24.716,23.46,26.334,26.069,23.969
2007/2008,24,23,23,26.749,26.137,23
2007/2008,28,23,23,25.48,25.075,23
2007/2008,32,23,23,24.011,23,23
2007/2008,36,23,23,23.241,23,23
2007/2008,40,23,23,23.033,23.033,23
2007/2008,44,23,23,23.003,23.003,23
2007/2008,48,23,23,23,23,23
2008/2009,0,6.4725,28.3,25.889,24.715,20.736
2008/2009,4,6.477,27.68,25.889,24.621,20.333
2008/2009,8,11.277,29.1,25.889,25.218,22.924
2008/2009,12,16.689,28.82,25.899,25.68,24.804
2008/2009,16,25.245,27.9,25.873,26.129,27.021
2008/2009,20,31.78,26.73,25.177,26.387,28.759
2008/2009,24,36.175,25,27.525,29.073,29.49
2008/2009,28,38.023,25.05,26.825,28.841,30.262
2008/2009,32,32.115,31,31.334,31,31
2008/2009,36,31.294,31,31.1,31,31
2008/2009,40,31.557,31,31.015,31.015,31.002
2008/2009,44,31.156,31,31.001,31.001,31
2008/2009,48,31.052,31,31,31,31
2009/2010,0,6.319,25.4,26.158,24.652,19.893
2009/2010,4,6.3915,25.77,26.158,24.745,20.177
2009/2010,8,18.693,22.77,26.158,24.853,21.593
2009/2010,12,19.402,25.46,26.132,25.708,23.651
2009/2010,16,27.842,22.95,26.188,25.638,24.41
2009/2010,20,26.881,23.84,25.669,25.582,25.018
2009/2010,24,19.554,19.31,23.636,22.802,19.405
2009/2010,28,29.837,29,29.931,29.823,29.324
2009/2010,32,31.056,31,31.37,31,31
2009/2010,36,31.007,31,31.114,31,31
2009/2010,40,31,31,31.017,31.017,31
2009/2010,44,43,43,43,43,43
2009/2010,48,43,43,43,43,43
2010/2011,0,7.018,16.05,27,23.6,13.754
2010/2011,4,11.653,16,27,23.731,14.895
2010/2011,8,8.8065,16,26.998,23.642,14.171
2010/2011,12,12.018,16,27.011,24.604,14.771
2010/2011,16,16,16,27.081,24.658,16
2010/2011,20,16,16,26.613,24.353,16
2010/2011,24,16,16,24.973,23.062,16
2010/2011,28,16,16,22.103,20.803,16
2010/2011,32,16,16,19.104,16.397,16
2010/2011,36,16,16,17.126,16.144,16
2010/2011,40,16,16,16.283,16.003,16
2010/2011,44,16,16,16.048,16,16
2010/2011,48,16,16,16.005,16,16
2011/2012,0,6.7055,27.66,26.476,26.705,22.82
2011/2012,4,8.714,27.87,26.476,26.8,23.446
2011/2012,8,17.329,26.23,26.484,26.302,24.174
2011/2012,12,24.587,23.53,26.499,25.559,23.831
2011/2012,16,26.955,23.73,26.692,25.754,24.648
2011/2012,20,25.18,23.02,26.99,26.244,23.969
2011/2012,24,20.94,20.79,26.212,25.057,20.856
2011/2012,28,20,20,24.442,23.49,20
2011/2012,32,20,20,22.395,20.364,20
2011/2012,36,20,20,20.936,20.142,20
2011/2012,40,20,20,20.259,20.018,20
2011/2012,44,20,20,20.05,20.003,20
2011/2012,48,20,20,20.006,20,20
2012/2013,0,6.061,27.36,26.182,26.56,21.618
2012/2013,4,15.03,24.22,26.183,25.553,21.742
2012/2013,8,8.9365,24.69,26.18,25.702,20.443
2012/2013,12,7.1275,23.53,26.077,25.273,19.001
2012/2013,16,22.761,22.99,26.419,25.336,22.927
2012/2013,20,26.185,23.57,26.978,26.203,24.634
2012/2013,24,29.516,25,28.241,27.601,26.838
2012/2013,28,29.248,29,30.437,30.07,29.101
2012/2013,32,32.013,32,32.633,32.079,32
2012/2013,36,32,32,32.342,32.043,32
2012/2013,40,32,32,32.112,32.022,32
2012/2013,44,32,32,32.024,32.005,32
2012/2013,48,32,32,32.003,32.001,32
