season,week,F1,F2,F3,SEF123,SEF12
2005/2006,0,1000.5,963.6,1832.8,1199.4,979.93
2005/2006,4,427.79,1061.2,1801.4,1024.8,780.69
2005/2006,8,3122,1540.1,1805.7,2172.4,2240.7
2005/2006,12,3869.5,3322.5,1862.6,3046.4,3548.5
2005/2006,16,3739.9,6474.5,2058.2,4327,5344.6
2005/2006,20,2771.2,4586.3,2359.5,2956.2,3603.9
2005/2006,24,1720,2457.8,2341.2,2263.2,2058.5
2005/2006,28,1818.7,2060.4,2258.2,2136.7,1929.6
2005/2006,32,1774.9,1911.3,2100.5,1957.7,1828.7
2005/2006,36,1757.8,1829.5,1995,1884.1,1786.1
2005/2006,40,1782.8,1830.3,1922.4,1818.8,1808.9
2005/2006,44,1789.3,1812.7,1860.5,1807.3,1802.1
2005/2006,48,1786,1794.5,1811.7,1792.5,1790.7
2006/2007,0,871.62,916.35,1830.2,1127.9,896.3
2006/2007,4,760.31,1350.2,1811.5,1252.5,1085.8
2006/2007,8,269.81,1158.1,1768.5,990,760.03
2006/2007,12,363.38,908.17,1699.8,1068.8,665.75
2006/2007,16,1296.4,891.06,1570.9,1262.5,1071.4
2006/2007,20,1349.4,819.84,1427,1286.4,1126.1
2006/2007,24,604.36,774.63,1228.6,986.56,676.15
2006/2007,28,627.02,649.19,1023.7,852.66,636.37
2006/2007,32,606.77,613.81,844.94,705.25,609.33
2006/2007,36,568.93,569.05,739,638.14,568.97
2006/2007,40,598.64,590.05,671.94,600.26,594.01
2006/2007,44,637.68,629.37,650.92,634.72,633.2
2006/2007,48,637.51,638.48,640.37,638.2,638.03
2007/2008,0,1382,1828.3,1767.2,1649,1625.5
2007/2008,4,1559.2,2267.5,1775.4,1886.8,1945.7
2007/2008,8,1820,3096.5,1810.6,2313.1,2516.6
2007/2008,12,1958.8,2726,1864.7,2217.7,2407.2
2007/2008,16,3020,3861.7,1948.3,2943.4,3511.9
2007/2008,20,3111.6,2898.4,2121,2552.3,3015.3
2007/2008,24,2134.8,3496.2,2374.2,2595.4,2749.4
2007/2008,28,1751,2456.7,2301.5,2207.7,2069.6
2007/2008,32,1782.9,1957.7,2165.2,1966.8,1838.6
2007/2008,36,1817.6,1947.6,2083.5,1947,1859
2007/2008,40,1843.2,1912.9,2001.4,1891,1880.5
2007/2008,44,1859.1,1892.2,1938.5,1882.2,1876.8
2007/2008,48,1869.5,1881.3,1896.6,1877.6,1875.8
2008/2009,0,834.72,974.5,1765.9,1112.7,911.59
2008/2009,4,367.28,999.66,1731.7,941.4,715.07
2008/2009,8,208.35,816.07,1679,798.35,542.58
2008/2009,12,211.22,741.69,1600,950.26,511.04
2008/2009,16,794.05,745.31,1460.6,1041.3,766.5
2008/2009,20,1036.6,572.15,1289.5,1111.4,839.54
2008/2009,24,3838,716.03,1122.6,1630,2513.4
2008/2009,28,1666.2,830.26,1002.9,1114.2,1311.6
2008/2009,32,1001,835.84,919.17,926.95,927.99
2008/2009,36,930.63,880.3,901,906.01,908.39
2008/2009,40,1078.1,1016.1,933.44,1031.9,1042.1
2008/2009,44,1082,1035.1,986.12,1048.4,1054.8
2008/2009,48,1041.6,1033.9,1015.9,1035.1,1037.1
2009/2010,0,1549.7,2278.1,1739,1845.9,1919.1
2009/2010,4,445.03,1796.2,1734.5,1241.6,1130.4
2009/2010,8,1204.9,1724.2,1735.3,1520.3,1468.3
2009/2010,12,930.98,1665.6,1716.3,1495,1338.5
2009/2010,16,2041.1,1501.2,1666.2,1707.5,1741.6
2009/2010,20,1898.5,1447.3,1625,1647.6,1695
2009/2010,24,1438.7,1357.6,1521.9,1477.9,1402.1
2009/2010,28,1675.9,1386,1469.5,1495.2,1545.1
2009/2010,32,1783.3,1692.6,1491.2,1640.9,1743.2
2009/2010,36,1766.7,1817.9,1564,1694.9,1789.4
