"team","metric.type","forecast.week","season","metric","location","data.type","prediction.target"
"baseline","LS",0,"2005/2006",-1.02806,"iquitos","train","peakinc"
"B","LS",0,"2005/2006",-1.98255,"iquitos","train","peakinc"
"C","LS",0,"2005/2006",-1.58046,"iquitos","train","peakinc"
"D","LS",0,"2005/2006",-6.69059,"iquitos","train","peakinc"
"J","LS",0,"2005/2006",-1.90124,"iquitos","train","peakinc"
"H","LS",0,"2005/2006",-2.61178,"iquitos","train","peakinc"
"P","LS",0,"2005/2006",-5.30837,"iquitos","train","peakinc"
"A","LS",0,"2005/2006",-1.49165,"iquitos","train","peakinc"
"O","LS",0,"2005/2006",-1.38552,"iquitos","train","peakinc"
"L","LS",0,"2005/2006",-0.693147,"iquitos","train","peakinc"
"I","LS",0,"2005/2006",-0.871554,"iquitos","train","peakinc"
"G","LS",0,"2005/2006",-2.9727,"iquitos","train","peakinc"
"K","LS",0,"2005/2006",-Inf,"iquitos","train","peakinc"
"N","LS",0,"2005/2006",-1.43646,"iquitos","train","peakinc"
"F","LS",0,"2005/2006",-0.770836,"iquitos","train","peakinc"
"M","LS",0,"2005/2006",-1.36688,"iquitos","train","peakinc"
"E","LS",0,"2005/2006",-1.72317,"iquitos","train","peakinc"
"baseline","AE",0,"2005/2006",7.55349,"iquitos","train","peakinc"
"B","AE",0,"2005/2006",20,"iquitos","train","peakinc"
"C","AE",0,"2005/2006",6.5,"iquitos","train","peakinc"
"D","AE",0,"2005/2006",12.9141,"iquitos","train","peakinc"
"J","AE",0,"2005/2006",7.1654,"iquitos","train","peakinc"
"H","AE",0,"2005/2006",0.0959896,"iquitos","train","peakinc"
"P","AE",0,"2005/2006",32.5594,"iquitos","train","peakinc"
"A","AE",0,"2005/2006",31,"iquitos","train","peakinc"
"O","AE",0,"2005/2006",5.93847,"iquitos","train","peakinc"
"L","AE",0,"2005/2006",5.81812,"iquitos","train","peakinc"
"I","AE",0,"2005/2006",0,"iquitos","train","peakinc"
"G","AE",0,"2005/2006",2.3875,"iquitos","train","peakinc"
"K","AE",0,"2005/2006",38,"iquitos","train","peakinc"
"N","AE",0,"2005/2006",27,"iquitos","train","peakinc"
"F","AE",0,"2005/2006",11.0916,"iquitos","train","peakinc"
"M","AE",0,"2005/2006",14,"iquitos","train","peakinc"
"E","AE",0,"2005/2006",25,"iquitos","train","peakinc"
"baseline","LS",4,"2005/2006",-0.993172,"iquitos","train","peakinc"
"B","LS",4,"2005/2006",-2.17931,"iquitos","train","peakinc"
"C","LS",4,"2005/2006",-1.58046,"iquitos","train","peakinc"
"D","LS",4,"2005/2006",-6.4813,"iquitos","train","peakinc"
"J","LS",4,"2005/2006",-1.52787,"iquitos","train","peakinc"
"H","LS",4,"2005/2006",-2.89666,"iquitos","train","peakinc"
"P","LS",4,"2005/2006",-5.33914,"iquitos","train","peakinc"
"A","LS",4,"2005/2006",-2.35388,"iquitos","train","peakinc"
"O","LS",4,"2005/2006",-11.6083,"iquitos","train","peakinc"
"L","LS",4,"2005/2006",-0.773634,"iquitos","train","peakinc"
"I","LS",4,"2005/2006",-1.20624,"iquitos","train","peakinc"
"G","LS",4,"2005/2006",-2.67373,"iquitos","train","peakinc"
"K","LS",4,"2005/2006",-Inf,"iquitos","train","peakinc"
"N","LS",4,"2005/2006",-1.79128,"iquitos","train","peakinc"
"F","LS",4,"2005/2006",-0.838582,"iquitos","train","peakinc"
"M","LS",4,"2005/2006",-1.03916,"iquitos","train","peakinc"
"E","LS",4,"2005/2006",-1.72429,"iquitos","train","peakinc"
"baseline","AE",4,"2005/2006",6.13378,"iquitos","train","peakinc"
"B","AE",4,"2005/2006",18,"iquitos","train","peakinc"
"C","AE",4,"2005/2006",27.984,"iquitos","train","peakinc"
"D","AE",4,"2005/2006",31.8101,"iquitos","train","peakinc"
"J","AE",4,"2005/2006",2.89826,"iquitos","train","peakinc"
"H","AE",4,"2005/2006",8.8231,"iquitos","train","peakinc"
"P","AE",4,"2005/2006",32.4856,"iquitos","train","peakinc"
"A","AE",4,"2005/2006",33,"iquitos","train","peakinc"
"O","AE",4,"2005/2006",3.32199,"iquitos","train","peakinc"
"L","AE",4,"2005/2006",4.68235,"iquitos","train","peakinc"
"I","AE",4,"2005/2006",2,"iquitos","train","peakinc"
"G","AE",4,"2005/2006",7.25,"iquitos","train","peakinc"
"K","AE",4,"2005/2006",38,"iquitos","train","peakinc"
"N","AE",4,"2005/2006",23,"iquitos","train","peakinc"
"F","AE",4,"2005/2006",11.0916,"iquitos","train","peakinc"
"M","AE",4,"2005/2006",10,"iquitos","train","peakinc"
"E","AE",4,"2005/2006",26,"iquitos","train","peakinc"
"baseline","LS",8,"2005/2006",-1.18319,"iquitos","train","peakinc"
"B","LS",8,"2005/2006",-2.48605,"iquitos","train","peakinc"
"C","LS",8,"2005/2006",-1.58046,"iquitos","train","peakinc"
"D","LS",8,"2005/2006",-5.35556,"iquitos","train","peakinc"
"J","LS",8,"2005/2006",-1.11708,"iquitos","train","peakinc"
"H","LS",8,"2005/2006",-2.85412,"iquitos","train","peakinc"
"P","LS",8,"2005/2006",-5.24953,"iquitos","train","peakinc"
"A","LS",8,"2005/2006",-2.65926,"iquitos","train","peakinc"
"O","LS",8,"2005/2006",-2.33749,"iquitos","train","peakinc"
"L","LS",8,"2005/2006",-1.63647,"iquitos","train","peakinc"
"I","LS",8,"2005/2006",-0.919564,"iquitos","train","peakinc"
"G","LS",8,"2005/2006",-2.31409,"iquitos","train","peakinc"
"K","LS",8,"2005/2006",-Inf,"iquitos","train","peakinc"
"N","LS",8,"2005/2006",-3.03338,"iquitos","train","peakinc"
"F","LS",8,"2005/2006",-0.80188,"iquitos","train","peakinc"
"M","LS",8,"2005/2006",-0.848903,"iquitos","train","peakinc"
"E","LS",8,"2005/2006",-1.48369,"iquitos","train","peakinc"
"baseline","AE",8,"2005/2006",12.0332,"iquitos","train","peakinc"
"B","AE",8,"2005/2006",16,"iquitos","train","peakinc"
"C","AE",8,"2005/2006",31.2017,"iquitos","train","peakinc"
"D","AE",8,"2005/2006",32,"iquitos","train","peakinc"
"J","AE",8,"2005/2006",1.87778,"iquitos","train","peakinc"
"H","AE",8,"2005/2006",9.51968,"iquitos","train","peakinc"
"P","AE",8,"2005/2006",31.9789,"iquitos","train","peakinc"
"A","AE",8,"2005/2006",221,"iquitos","train","peakinc"
"O","AE",8,"2005/2006",1.58323,"iquitos","train","peakinc"
"L","AE",8,"2005/2006",11.6546,"iquitos","train","peakinc"
"I","AE",8,"2005/2006",1,"iquitos","train","peakinc"
"G","AE",8,"2005/2006",19.59,"iquitos","train","peakinc"
"K","AE",8,"2005/2006",38,"iquitos","train","peakinc"
"N","AE",8,"2005/2006",32,"iquitos","train","peakinc"
"F","AE",8,"2005/2006",11.0916,"iquitos","train","peakinc"
"M","AE",8,"2005/2006",4,"iquitos","train","peakinc"
"E","AE",8,"2005/2006",18,"iquitos","train","peakinc"
"baseline","LS",12,"2005/2006",-1.83571,"iquitos","train","peakinc"
"B","LS",12,"2005/2006",-2.34251,"iquitos","train","peakinc"
"C","LS",12,"2005/2006",-1.58046,"iquitos","train","peakinc"
"D","LS",12,"2005/2006",-5.42604,"iquitos","train","peakinc"
