"team","metric.type","forecast.week","season","metric","location","data.type","prediction.target"
"glmnew","LS",0,"2005/2006",-3.37956983439805,"sanjuan","train","peakweek"
"glmnew","LS",0,"2005/2006",-6.91869521902047,"sanjuan","train","peakinc"
"glmnew","LS",0,"2005/2006",-6.91869521902047,"sanjuan","train","seasoninc"
"glmnew","AE",0,"2005/2006",9,"sanjuan","train","peakweek"
"glmnew","AE",0,"2005/2006",121,"sanjuan","train","peakinc"
"glmnew","AE",0,"2005/2006",1505.5,"sanjuan","train","seasoninc"
"glmnew","LS",4,"2005/2006",-3.56003265459738,"sanjuan","train","peakweek"
"glmnew","LS",4,"2005/2006",-6.91869521902047,"sanjuan","train","peakinc"
"glmnew","LS",4,"2005/2006",-6.91869521902047,"sanjuan","train","seasoninc"
"glmnew","AE",4,"2005/2006",7,"sanjuan","train","peakweek"
"glmnew","AE",4,"2005/2006",120,"sanjuan","train","peakinc"
"glmnew","AE",4,"2005/2006",1497,"sanjuan","train","seasoninc"
"glmnew","LS",8,"2005/2006",-3.87501053932456,"sanjuan","train","peakweek"
"glmnew","LS",8,"2005/2006",-6.91869521902047,"sanjuan","train","peakinc"
"glmnew","LS",8,"2005/2006",-5.82008293035236,"sanjuan","train","seasoninc"
"glmnew","AE",8,"2005/2006",11,"sanjuan","train","peakweek"
"glmnew","AE",8,"2005/2006",113,"sanjuan","train","peakinc"
"glmnew","AE",8,"2005/2006",1329,"sanjuan","train","seasoninc"
"glmnew","LS",12,"2005/2006",-2.3318429265895,"sanjuan","train","peakweek"
"glmnew","LS",12,"2005/2006",-3.51749783735832,"sanjuan","train","peakinc"
"glmnew","LS",12,"2005/2006",-0.278819385193936,"sanjuan","train","seasoninc"
"glmnew","AE",12,"2005/2006",0,"sanjuan","train","peakweek"
"glmnew","AE",12,"2005/2006",74,"sanjuan","train","peakinc"
"glmnew","AE",12,"2005/2006",650.5,"sanjuan","train","seasoninc"
"glmnew","LS",16,"2005/2006",-2.81531366690612,"sanjuan","train","peakweek"
"glmnew","LS",16,"2005/2006",-0.61424641659849,"sanjuan","train","peakinc"
"glmnew","LS",16,"2005/2006",-1.88174261660684,"sanjuan","train","seasoninc"
"glmnew","AE",16,"2005/2006",5,"sanjuan","train","peakweek"
"glmnew","AE",16,"2005/2006",4,"sanjuan","train","peakinc"
"glmnew","AE",16,"2005/2006",565,"sanjuan","train","seasoninc"
"glmnew","LS",20,"2005/2006",-5.85983610462955,"sanjuan","train","peakweek"
"glmnew","LS",20,"2005/2006",-5.30925730658637,"sanjuan","train","peakinc"
"glmnew","LS",20,"2005/2006",-6.91869521902047,"sanjuan","train","seasoninc"
"glmnew","AE",20,"2005/2006",6,"sanjuan","train","peakweek"
"glmnew","AE",20,"2005/2006",130,"sanjuan","train","peakinc"
