"team","metric.type","forecast.week","season","metric","location","data.type","prediction.target"
"new","LS",0,"2005/2006",-5.05269795630211,"iquitos","train","peakweek"
"new","LS",0,"2005/2006",-4.47553186625458,"iquitos","train","peakinc"
"new","LS",0,"2005/2006",-4.15606371580407,"iquitos","train","seasoninc"
"new","AE",0,"2005/2006",12,"iquitos","train","peakweek"
"new","AE",0,"2005/2006",23.1815484495289,"iquitos","train","peakinc"
"new","AE",0,"2005/2006",218.678721821713,"iquitos","train","seasoninc"
"new","LS",4,"2005/2006",-5.10731902717091,"iquitos","train","peakweek"
"new","LS",4,"2005/2006",-3.93054564425232,"iquitos","train","peakinc"
"new","LS",4,"2005/2006",-2.88701071719447,"iquitos","train","seasoninc"
"new","AE",4,"2005/2006",13,"iquitos","train","peakweek"
"new","AE",4,"2005/2006",20.8846190055379,"iquitos","train","peakinc"
"new","AE",4,"2005/2006",163.528933653893,"iquitos","train","seasoninc"
"new","LS",8,"2005/2006",-5.12477126293815,"iquitos","train","peakweek"
"new","LS",8,"2005/2006",-4.81193544435682,"iquitos","train","peakinc"
"new","LS",8,"2005/2006",-4.06740993901091,"iquitos","train","seasoninc"
"new","AE",8,"2005/2006",13,"iquitos","train","peakweek"
"new","AE",8,"2005/2006",24.5871911519763,"iquitos","train","peakinc"
"new","AE",8,"2005/2006",211.272499419893,"iquitos","train","seasoninc"
"new","LS",12,"2005/2006",-4.74246806140809,"iquitos","train","peakweek"
"new","LS",12,"2005/2006",-5.04670148903736,"iquitos","train","peakinc"
"new","LS",12,"2005/2006",-5.03806834189266,"iquitos","train","seasoninc"
"new","AE",12,"2005/2006",30,"iquitos","train","peakweek"
"new","AE",12,"2005/2006",32,"iquitos","train","peakinc"
"new","AE",12,"2005/2006",343.718188480489,"iquitos","train","seasoninc"
"new","LS",16,"2005/2006",-4.91052844345282,"iquitos","train","peakweek"
"new","LS",16,"2005/2006",-5.11848098206448,"iquitos","train","peakinc"
"new","LS",16,"2005/2006",-4.80759601253303,"iquitos","train","seasoninc"
"new","AE",16,"2005/2006",9,"iquitos","train","peakweek"
"new","AE",16,"2005/2006",27.4721065141782,"iquitos","train","peakinc"
"new","AE",16,"2005/2006",269.384285516759,"iquitos","train","seasoninc"
"new","LS",20,"2005/2006",-5.0124797458949,"iquitos","train","peakweek"
"new","LS",20,"2005/2006",-5.28256192865555,"iquitos","train","peakinc"
"new","LS",20,"2005/2006",-5.26232204730781,"iquitos","train","seasoninc"
"new","AE",20,"2005/2006",9,"iquitos","train","peakweek"
"new","AE",20,"2005/2006",29.8373314403424,"iquitos","train","peakinc"
"new","AE",20,"2005/2006",298.215680215336,"iquitos","train","seasoninc"
"new","LS",24,"2005/2006",-5.24938216656631,"iquitos","train","peakweek"
"new","LS",24,"2005/2006",-5.42693138565423,"iquitos","train","peakinc"
"new","LS",24,"2005/2006",-5.21245365609601,"iquitos","train","seasoninc"
"new","AE",24,"2005/2006",11,"iquitos","train","peakweek"
"new","AE",24,"2005/2006",25,"iquitos","train","peakinc"
"new","AE",24,"2005/2006",260.924293182725,"iquitos","train","seasoninc"
"new","LS",28,"2005/2006",-5.48762039575541,"iquitos","train","peakweek"
"new","LS",28,"2005/2006",-5.0830041031999,"iquitos","train","peakinc"
"new","LS",28,"2005/2006",-2.46535894750276,"iquitos","train","seasoninc"
"new","AE",28,"2005/2006",4,"iquitos","train","peakweek"
"new","AE",28,"2005/2006",14,"iquitos","train","peakinc"
"new","AE",28,"2005/2006",150.829668078783,"iquitos","train","seasoninc"
"new","LS",32,"2005/2006",-0.222531455337287,"iquitos","train","peakweek"
"new","LS",32,"2005/2006",-0.0608995399205502,"iquitos","train","peakinc"
"new","LS",32,"2005/2006",-1.43588272645892,"iquitos","train","seasoninc"
"new","AE",32,"2005/2006",0,"iquitos","train","peakweek"
"new","AE",32,"2005/2006",0,"iquitos","train","peakinc"
"new","AE",32,"2005/2006",103.841301739996,"iquitos","train","seasoninc"
"new","LS",36,"2005/2006",-0.0635926126350913,"iquitos","train","peakweek"
"new","LS",36,"2005/2006",-0.0213671495366042,"iquitos","train","peakinc"
"new","LS",36,"2005/2006",-1.10086326889285,"iquitos","train","seasoninc"
"new","AE",36,"2005/2006",0,"iquitos","train","peakweek"
