"team","metric.type","forecast.week","season","metric","location","data.type","prediction.target"
"new","LS",0,"2005/2006",-4.99418973739205,"sanjuan","train","peakweek"
"new","LS",0,"2005/2006",-1.30518308228104,"sanjuan","train","peakinc"
"new","LS",0,"2005/2006",-0.886622555536562,"sanjuan","train","seasoninc"
"new","AE",0,"2005/2006",9,"sanjuan","train","peakweek"
"new","AE",0,"2005/2006",50.9225093320787,"sanjuan","train","peakinc"
"new","AE",0,"2005/2006",35.004993573199,"sanjuan","train","seasoninc"
"new","LS",4,"2005/2006",-5.09447588508059,"sanjuan","train","peakweek"
"new","LS",4,"2005/2006",-1.29348738240481,"sanjuan","train","peakinc"
"new","LS",4,"2005/2006",-0.778734049964663,"sanjuan","train","seasoninc"
"new","AE",4,"2005/2006",9,"sanjuan","train","peakweek"
"new","AE",4,"2005/2006",51.0553442712514,"sanjuan","train","peakinc"
"new","AE",4,"2005/2006",10.1092289975377,"sanjuan","train","seasoninc"
"new","LS",8,"2005/2006",-4.50120039754574,"sanjuan","train","peakweek"
"new","LS",8,"2005/2006",-0.868176495797481,"sanjuan","train","peakinc"
"new","LS",8,"2005/2006",-2.43760993508493,"sanjuan","train","seasoninc"
"new","AE",8,"2005/2006",10,"sanjuan","train","peakweek"
"new","AE",8,"2005/2006",15.2245778940005,"sanjuan","train","peakinc"
"new","AE",8,"2005/2006",1359.04866232724,"sanjuan","train","seasoninc"
"new","LS",12,"2005/2006",-3.86857288850162,"sanjuan","train","peakweek"
"new","LS",12,"2005/2006",-0.750734241129387,"sanjuan","train","peakinc"
"new","LS",12,"2005/2006",-2.75224180348723,"sanjuan","train","seasoninc"
"new","AE",12,"2005/2006",10,"sanjuan","train","peakweek"
"new","AE",12,"2005/2006",20.6861828138276,"sanjuan","train","peakinc"
"new","AE",12,"2005/2006",1299.99913153727,"sanjuan","train","seasoninc"
"new","LS",16,"2005/2006",-3.42112610172839,"sanjuan","train","peakweek"
"new","LS",16,"2005/2006",-0.482665650367051,"sanjuan","train","peakinc"
"new","LS",16,"2005/2006",-5.0548231302925,"sanjuan","train","seasoninc"
"new","AE",16,"2005/2006",9,"sanjuan","train","peakweek"
"new","AE",16,"2005/2006",0.466154712697033,"sanjuan","train","peakinc"
"new","AE",16,"2005/2006",1782.61884081747,"sanjuan","train","seasoninc"
"new","LS",20,"2005/2006",-4.4168888555012,"sanjuan","train","peakweek"
"new","LS",20,"2005/2006",-2.12313227514315,"sanjuan","train","peakinc"
"new","LS",20,"2005/2006",-5.28256192865555,"sanjuan","train","seasoninc"
"new","AE",20,"2005/2006",8,"sanjuan","train","peakweek"
