"season","week","pw","pi","ti","pw.nopast","pi.nopast","ti.nopast"
"2005/2006",0,0.00203,0.88728,0.48371,0.00203,0.88728,0.48371
"2005/2006",4,0.00028,0.90851,0.49409,0.00031,0.90851,0.49316
"2005/2006",8,0.01648,0.63854,0.04998,0.01647,0.63854,0.05046
"2005/2006",12,0.05535,0.71476,0.02933,0.05522,0.71476,0.02997
"2005/2006",16,0.0606,0.493,6e-05,0.06133,0.493,9e-05
"2005/2006",20,0.01415,0.01415,0,0.00502,0.011,0
"2005/2006",24,0.98332,0.98332,7e-05,0.81939,0.97974,0.00035
"2005/2006",28,0.99498,0.99498,5e-05,0.8816,0.99011,0.00029
"2005/2006",32,1,1,0.53113,0.87723,0.99428,0.59478
"2005/2006",36,1,1,0.98753,0.84702,0.99177,0.97839
"2005/2006",40,0.99999,0.99999,0.16679,0.83299,0.98895,0.29232
"2005/2006",44,1,1,0.26315,0.83423,0.9823,0.51821
"2005/2006",48,1,1,0.73588,0.83106,0.9788,0.67691
"2006/2007",0,0.96052,0.07538,0.16207,0.96052,0.07538,0.16207
"2006/2007",4,0.98164,0.02325,0.07381,0.98164,0.02325,0.07405
"2006/2007",8,0.91389,0.2157,0.32751,0.91375,0.2157,0.32714
"2006/2007",12,0.72255,0.76187,0.82771,0.71922,0.76187,0.8268
"2006/2007",16,0.8306,0.94322,0.96045,0.82899,0.94322,0.95954
"2006/2007",20,0.71083,0.9191,0.87362,0.66502,0.91847,0.87233
"2006/2007",24,0.95209,0.95209,0.92889,0.76351,0.95102,0.92929
"2006/2007",28,0.84243,0.84243,0.68795,0.51421,0.84149,0.68949
"2006/2007",32,0.89472,0.89472,0.75575,0.50748,0.89394,0.759
"2006/2007",36,0.90996,0.90996,0.76022,0.5163,0.90894,0.76417
"2006/2007",40,0.92241,0.92241,0.63562,0.51743,0.92146,0.64533
"2006/2007",44,0.75988,0.75988,0.04993,0.25692,0.75728,0.09755
"2006/2007",48,0.99972,0.99972,0.01606,0.52268,0.99397,0.2625
"2007/2008",0,0.98389,0.9985,0.91001,0.98389,0.9985,0.91001
"2007/2008",4,0.99783,0.99674,0.77941,0.99783,0.99674,0.77981
"2007/2008",8,0.99993,0.98553,0.33417,0.99993,0.98553,0.33703
"2007/2008",12,0.9877,1,0.93575,0.98782,1,0.93519
"2007/2008",16,0.94059,0.99998,0.55513,0.93714,0.99998,0.55821
"2007/2008",20,0.87354,0.99991,0.04444,0.70592,0.99991,0.05007
"2007/2008",24,0.97968,0.97968,0,0.11826,0.97904,0
"2007/2008",28,1,1,0.35171,0.88326,1,0.43579
"2007/2008",32,0.99999,0.99999,0.90116,0.91745,0.99999,0.8956
"2007/2008",36,0.9989,0.9989,0.1369,0.93684,0.9989,0.21486
"2007/2008",40,0.99991,0.99991,0.02378,0.94869,0.99991,0.12922
"2007/2008",44,1,1,0.34152,0.96138,1,0.62611
"2007/2008",48,1,1,0.80681,0.96879,1,0.77053
"2008/2009",0,0.98985,0.29358,0.51615,0.98985,0.29358,0.51615
"2008/2009",4,0.99721,0.19968,0.48171,0.99721,0.19968,0.48062
"2008/2009",8,0.98392,0.45239,0.72203,0.98393,0.45239,0.72055
"2008/2009",12,0.83875,0.95291,0.97888,0.83987,0.95291,0.97855
"2008/2009",16,0.87369,0.9864,0.99416,0.8699,0.9864,0.99413
"2008/2009",20,0.79953,0.98977,0.9989,0.79417,0.98977,0.99887
"2008/2009",24,0.7498,0.93504,0.94844,0.68671,0.93504,0.94828
"2008/2009",28,0.48664,0.45387,0.59573,0.4114,0.44807,0.59771
"2008/2009",32,0.89603,0.89603,0.86196,0.70299,0.79938,0.86252
"2008/2009",36,0.80759,0.80759,0.66538,0.51662,0.74629,0.67042
"2008/2009",40,0.53769,0.53769,0.24043,0.28055,0.4992,0.25517
"2008/2009",44,0.91918,0.91918,0.29687,0.36939,0.76388,0.34387
"2008/2009",48,0.99963,0.99963,0.24582,0.45122,0.80038,0.41334
"2009/2010",0,0.99681,0.1759,0.43598,0.99681,0.1759,0.43598
"2009/2010",4,0.98337,0.43267,0.74954,0.98341,0.43267,0.74853
"2009/2010",8,0.99497,0.1341,0.27994,0.99497,0.1341,0.27843
"2009/2010",12,0.9718,0.49599,0.70037,0.97185,0.49599,0.69806
"2009/2010",16,0.99836,0.02602,0.20981,0.99836,0.02602,0.2096
"2009/2010",20,0.9834,0.52044,0.79913,0.98334,0.52043,0.79722
"2009/2010",24,0.95184,0.95416,0.97219,0.94438,0.95416,0.97216
"2009/2010",28,0.94948,0.8885,0.92573,0.94942,0.8885,0.92537
"2009/2010",32,0.97032,0.53489,0.75745,0.96716,0.52664,0.75937
"2009/2010",36,0.92348,0.82299,0.80931,0.89717,0.79213,0.81016
"2009/2010",40,0.77699,0.74311,0.59797,0.66735,0.71935,0.60572
"2009/2010",44,0.58361,0.58361,0.18943,0.38214,0.44389,0.25079
"2009/2010",48,0.97778,0.97778,0.50651,0.68918,0.59095,0.51601
"2010/2011",0,0.9177,0.9992,0.97587,0.9177,0.9992,0.97587
"2010/2011",4,0.95767,0.98895,0.83734,0.95767,0.98895,0.84055
"2010/2011",8,0.97872,0.51303,0.17817,0.97872,0.51303,0.18454
"2010/2011",12,0.95008,0.47791,0.07255,0.94943,0.47677,0.07955
"2010/2011",16,0.97516,0.97516,0.02703,0.91169,0.77411,0.03252
"2010/2011",20,0.99962,0.99962,2e-05,0.78446,0.80412,2e-05
