"season","week","pwq1","pwm","pwq2","pwtrue","pwpred","piq1","pim","piq2","pitrue","pipred","tiq1","tim","tiq2","titrue","tipred"
"2005/2006",0,23,28,37,19,28,29.0328651041028,86.0774906679213,174.324221056986,137,86.0774906679213,524.11099480499,1823.0049935732,3911.41885121062,1788,1823.0049935732
"2005/2006",4,24,28,36,19,28,33.6834476517423,85.9446557287486,165.416336196431,137,85.9446557287486,638.985991372317,1798.10922899754,3604.40009811772,1788,1798.10922899754
"2005/2006",8,20,29,40,19,29,57.2336326933892,121.775422106,219.917472239696,137,121.775422106,1576.76890669331,3147.04866232724,5324.35847047069,1788,3147.04866232724
"2005/2006",12,18,29,40,19,29,63.1357031424386,116.313817186172,198.894876607305,137,116.313817186172,1750.15977581467,3087.99913153727,4860.91850735264,1788,3087.99913153727
"2005/2006",16,18,28,38,19,28,98.4816854570929,137.466154712697,195.510942464235,137,137.466154712697,2521.61259932769,3570.61884081747,4901.70297489343,1788,3570.61884081747
"2005/2006",20,21,27,35,19,27,139.822222574577,167.855481434716,206.440263763325,137,167.855481434716,3349.10613407026,4168.34350025982,5293.71601008827,1788,4168.34350025982
"2005/2006",24,19,19,19,19,19,137,137,137,137,137,2061.47079904991,2598.5824141066,3504.82751083927,1788,2598.5824141066
"2005/2006",28,19,19,19,19,19,137,137,137,137,137,2017.61126308252,2457.07161077891,3272.65702472706,1788,2457.07161077891
"2005/2006",32,19,19,19,19,19,137,137,137,137,137,1706.97638441915,1783.19054786562,2042.22860668616,1788,1783.19054786562
"2005/2006",36,19,19,19,19,19,137,137,137,137,137,1685.60440926981,1694.6094654571,1756.39995464757,1788,1694.6094654571
"2005/2006",40,19,19,19,19,19,137,137,137,137,137,1754.32716056056,1861.58573239893,2125.51820381244,1788,1861.58573239893
"2005/2006",44,19,19,19,19,19,137,137,137,137,137,1770.13884829934,1804.76857263538,1885.20174487454,1788,1804.76857263538
"2005/2006",48,19,19,19,19,19,137,137,137,137,137,1778,1783.96802992651,1799.5543660239,1788,1783.96802992651
"2006/2007",0,15,19,23,22,19,23.5071247293297,68.1445431937993,137.426397174756,33,68.1445431937993,294.856509888848,1139.40924546502,2689.0352238388,629,1139.40924546502
"2006/2007",4,15,19,22,22,19,33.5222549269671,76.1094913996164,138.088179030358,33,76.1094913996164,468.898469887162,1278.84793488735,2614.8245885261,629,1278.84793488735
"2006/2007",8,14,19,27,22,19,17.5729892000305,47.700773090638,100.612034938165,33,47.700773090638,247.872744567701,803.08941891634,1919.5027670264,629,803.08941891634
"2006/2007",12,5,20,52,22,20,11,23.2637632656755,56.6421706400714,33,23.2637632656755,125.363709292679,371.020398875753,1020.72161709687,629,371.020398875753
"2006/2007",16,15,19,52,22,19,16,20.5332575744585,38.2068727423155,33,20.5332575744585,180.777969574983,315.22123862745,682.740140694992,629,315.22123862745
"2006/2007",20,20,20,52,22,20,23,23,46.7986961705731,33,23,272.551410633416,409.645683261836,888.184187396658,629,409.645683261836
"2006/2007",24,22,22,51,22,22,33,33,40.8978921957062,33,33,312.91870521659,382.791762448024,765.684143627496,629,382.791762448024
"2006/2007",28,22,22,52,22,22,33,33,62.9579547282301,33,33,367.352711379314,522.912573066005,1151.99829526875,629,522.912573066005
"2006/2007",32,22,22,52,22,22,33,33,55.7896857450536,33,33,411.788624303727,508.797268032243,1003.04379646817,629,508.797268032243
"2006/2007",36,22,22,52,22,22,33,33,52.8866787608422,33,33,453.957768195441,526.743402969717,928.864351491055,629,526.743402969717
"2006/2007",40,22,22,52,22,22,33,33,44.7091482834599,33,33,508.699104977446,598.118644041381,836.247910940175,629,598.118644041381
"2006/2007",44,22,22,52,22,22,33,33,50.9956464403378,33,33,617.388883481584,709.55426731865,844.166507944615,629,709.55426731865
"2006/2007",48,22,22,22,22,22,33,33,33,33,33,630.790329250384,653.731156812288,684.214201596603,629,653.731156812288
"2007/2008",0,15,18,23,23,18,20.618263817792,62.1808981557716,127.415302590615,170,62.1808981557716,245.578954657674,988.583014232632,2409.05332377498,1878,988.583014232632
"2007/2008",4,15,18,22,23,18,38.7328881791899,81.3721749422163,141.968081478355,170,81.3721749422163,593.723570301069,1416.33036462969,2738.64760441448,1878,1416.33036462969
"2007/2008",8,15,17,20,23,17,74.4882731233029,113.546019722964,163.647841524545,170,113.546019722964,1255.6067850896,2082.26292380224,3190.33925468282,1878,2082.26292380224
"2007/2008",12,13,17,22,23,17,44.5064739037266,63.6358899396923,96.2034875727635,170,63.6358899396923,711.096164837177,1237.39607205116,2108.71103826161,1878,1237.39607205116
"2007/2008",16,16,19,25,23,19,75,82.578434194501,112.022527994508,170,82.578434194501,1230.92838496068,1824.91846509712,2724.06931062705,1878,1824.91846509712
"2007/2008",20,20,20,27,23,20,112,112,127.941077342611,170,112,1819.02733692979,2393.17557359461,3330.5262346511,1878,2393.17557359461
"2007/2008",24,23,23,23,23,23,170,170,170,170,170,2508.11635322351,3183.05410872609,4366.35985931332,1878,3183.05410872609
"2007/2008",28,23,23,23,23,23,170,170,170,170,170,1781.70796449123,1919.08807010302,2436.40179382656,1878,1919.08807010302
"2007/2008",32,23,23,23,23,23,170,170,170,170,170,1735.98158901202,1759.12019954037,2036.43266416709,1878,1759.12019954037
"2007/2008",36,23,23,23,23,23,170,170,170,170,170,1808.96621850081,2072.91247305439,2715.79329957086,1878,2072.91247305439
"2007/2008",40,23,23,23,23,23,170,170,170,170,170,1879.24626937053,2075.57503049153,2471.32815728408,1878,2075.57503049153
"2007/2008",44,23,23,23,23,23,170,170,170,170,170,1858.8982813024,1888.46773281372,1973.35947488019,1878,1888.46773281372
"2007/2008",48,23,23,23,23,23,170,170,170,170,170,1866,1871.7900698585,1888.68158858815,1878,1871.7900698585
"2008/2009",0,15,18,24,31,18,21.6153163977348,61.2768373357371,122.695461934905,48,61.2768373357371,290.581208296561,1014.09785405918,2287.31961529034,1035,1014.09785405918
"2008/2009",4,15,19,23,31,19,28.5253997547999,65.9918427412978,120.763086198499,48,65.9918427412978,387.631512262613,1055.57854799781,2152.52653054788,1035,1055.57854799781
"2008/2009",8,16,19,25,31,19,19.6444428305986,50.3773536002316,99.0334351591342,48,50.3773536002316,252.543713726057,787.5923949205,1778.31613497761,1035,787.5923949205
"2008/2009",12,14,20,52,31,20,7.39504654408551,21.6271957508534,54.0668550413413,48,21.6271957508534,84.5617445843842,321.945583965851,1001.19314327677,1035,321.945583965851
"2008/2009",16,15,21,52,31,21,15,21.6227526035529,43.3778850537258,48,21.6227526035529,145.826601813481,322.803397924341,818.143521592477,1035,322.803397924341
"2008/2009",20,15,15,52,31,15,15,15,38.4089695784236,48,15,145.086467384133,224.175402776872,618.563972906036,1035,224.175402776872
"2008/2009",24,24,24,51,31,24,28,28,61.3476591310144,48,28,291.172800048588,502.710329854843,1191.28043584871,1035,502.710329854843
